,team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques,league,top_half,team_name,league_position
21,687,[ 0.  0.  0.  0.  1.  0.  0.  4.  2.  3.  6.  3.  2. 15.  6.  6. 33.  2.],[ 0.  0.  0.  0.  2.  0.  0.  4.  4.  3.  8.  5.  5. 19. 12. 11.  3.  7.],9.222222222,2,3.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0, 7: 0.07473752191600415, 8: 0.0, 9: 0.02624835520614319, 10: 0.022410009374061367, 11: 0.027717019711445454, 12: 0.011357003705200874, 13: 0.015140016332745001, 14: 0.018698701949067486, 15: 0.022120637360646605, 16: 0.6102557666890405, 17: 0.011651391789193045}",0.046685357,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.08823529411764706, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.11764705882352941, 8: 0.125, 9: 0.11764705882352941, 10: 0.2647058823529412, 11: 0.15808823529411764, 12: 0.09558823529411764, 13: 0.15441176470588236, 14: 0.16176470588235295, 15: 0.11397058823529412, 16: 0.04411764705882353, 17: 0.11397058823529412}",0.087622549,"{0: 0.05180911249899081, 1: 0.05180911249899081, 2: 0.05180911249899081, 3: 0.05180911249899081, 4: 0.0545176408469489, 5: 0.05180911249899081, 6: 0.05180911249899081, 7: 0.05535805608685285, 8: 0.06027551313387021, 9: 0.05479466832331586, 10: 0.0625321126951956, 11: 0.0599905149014648, 12: 0.05584874189560942, 13: 0.05999660884900015, 14: 0.05799826580510285, 15: 0.061874015502880214, 16: 0.052274138166207955, 17: 0.05368504879960621}",0.054656155,2,"[[8, 11], [10, 13], [10, 7], [11, 14]]",1,0,Real Sociedad,12
25,691,[ 0.  0.  0.  3.  1.  1.  1.  0.  1.  3.  2.  3.  3.  1.  7.  1. 17.  4.],[0. 0. 0. 3. 1. 2. 1. 1. 1. 4. 3. 4. 3. 4. 9. 1. 4. 7.],5.333333333,1,2.5,"{0: 0, 1: 0, 2: 0, 3: 0.25, 4: 0, 5: 0.25, 6: 0, 7: 0, 8: 0, 9: 0.11640418858267082, 10: 0.0, 11: 0.18129522125421418, 12: 0.20833333333333331, 13: 0.06410503422347943, 14: 0.06105241054476357, 15: 0, 16: 0.40659194900855244, 17: 0.05215076593862904}",0.088329606,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.18382352941176472, 4: 0.14338235294117646, 5: 0.04779411764705882, 6: 0.08823529411764706, 7: 0.051470588235294115, 8: 0.09558823529411764, 9: 0.15441176470588236, 10: 0.28308823529411764, 11: 0.2536764705882353, 12: 0.21691176470588236, 13: 0.1323529411764706, 14: 0.2977941176470588, 15: 0.05514705882352941, 16: 0.05514705882352941, 17: 0.15073529411764705}",0.123366013,"{0: 0.04931472123211752, 1: 0.04931472123211752, 2: 0.04931472123211752, 3: 0.06208751815627257, 4: 0.05069389410190768, 5: 0.06082844510731529, 6: 0.052028357465693724, 7: 0.05667016017437598, 8: 0.05208014612365219, 9: 0.05714282496635739, 10: 0.060755681161716174, 11: 0.05874147744474702, 12: 0.05764147342266158, 13: 0.059134195590117, 14: 0.06835594002658563, 15: 0.04973850348284219, 16: 0.05100985023501622, 17: 0.0551473688443867}",0.055908765,2,"[[14, 17]]",1,0,Espanyol,11
20,692,[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  2.  1.  2.  4.  0.  3. 19.  6.],[0. 0. 0. 0. 1. 1. 1. 0. 0. 2. 2. 2. 5. 7. 2. 4. 3. 9.],4.333333333,0.5,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.16666666666666666, 10: 0.0, 11: 0.08333333333333333, 12: 0.0256673651920992, 13: 0.04428637954803098, 14: 0.0, 15: 0.13584595889323198, 16: 0.5837219703899845, 17: 0.04020820086780956}",0.059984993,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.04656862745098039, 5: 0.03308823529411765, 6: 0.03308823529411765, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.03308823529411765, 10: 0.10294117647058823, 11: 0.08088235294117647, 12: 0.08333333333333333, 13: 0.133578431372549, 14: 0.014705882352941176, 15: 0.051470588235294115, 16: 0.06985294117647059, 17: 0.0821078431372549}",0.04370915,"{0: 0.05194542355357329, 1: 0.05194542355357329, 2: 0.05194542355357329, 3: 0.05194542355357329, 4: 0.05315886514922499, 5: 0.05569978242889462, 6: 0.05549847662121745, 7: 0.05194542355357329, 8: 0.05194542355357329, 9: 0.0616561929811784, 10: 0.0606036033685695, 11: 0.05691322402454633, 12: 0.05735411109400329, 13: 0.06688894588687025, 14: 0.05264788101393319, 15: 0.055282242059347037, 16: 0.0538613226095849, 17: 0.058762811441190305}",0.054571782,2,"[[12, 13], [16, 17]]",1,0,Celta de Vigo,13
36,695,[ 0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  1.  0.  0.  7.  1.  2. 16.  3.],[0. 0. 0. 0. 0. 0. 1. 1. 2. 4. 4. 0. 1. 9. 2. 2. 2. 5.],3.666666667,0.5,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0, 9: 0.05555555555555555, 10: 0.03392013292093622, 11: 0, 12: 0, 13: 0.03328192773803117, 14: 0.0, 15: 0.0, 16: 1.154567654152496, 17: 0.07003617700337135}",0.074853414,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.027573529411764705, 7: 0.02389705882352941, 8: 0.025735294117647058, 9: 0.022058823529411766, 10: 0.022058823529411766, 11: 0.003676470588235294, 12: 0.007352941176470588, 13: 0.04595588235294118, 14: 0.027573529411764705, 15: 0.014705882352941176, 16: 0.04044117647058824, 17: 0.04044117647058824}",0.017973856,"{0: 0.050265127694009266, 1: 0.050265127694009266, 2: 0.050265127694009266, 3: 0.050265127694009266, 4: 0.050265127694009266, 5: 0.050265127694009266, 6: 0.053637694357283064, 7: 0.05996257393212402, 8: 0.07058013642240057, 9: 0.08208132262226148, 10: 0.059581348811451273, 11: 0.050265127694009266, 12: 0.05084624136755545, 13: 0.06023591755127519, 14: 0.05240201194391296, 15: 0.05142735504110164, 16: 0.05142735504110164, 17: 0.055962149051467805}",0.051427355,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",1,0,Levante,15
39,696,[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  4.  6.  4.  4. 10.  0.  3. 17.  4.],[ 0.  0.  0.  0.  0.  0.  2.  2.  0.  7.  6.  6.  5. 12.  0.  6.  1.  6.],5.888888889,0.5,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.0, 7: 0.12018746419228402, 8: 0, 9: 0.054531169919768946, 10: 0.075885597621048, 11: 0.05342320664460495, 12: 0.04897477270115567, 13: 0.03568703243268259, 14: 0, 15: 0.03368275741483202, 16: 0, 17: 0.020998684164914554}",0.024631705,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.03676470588235294, 7: 0.058823529411764705, 8: 0.003676470588235294, 9: 0.058823529411764705, 10: 0.125, 11: 0.07720588235294118, 12: 0.08823529411764706, 13: 0.16176470588235295, 14: 0.003676470588235294, 15: 0.0625, 16: 0.03676470588235294, 17: 0.03676470588235294}",0.042892157,"{0: 0.05097337988674651, 1: 0.05097337988674651, 2: 0.05097337988674651, 3: 0.05097337988674651, 4: 0.05097337988674651, 5: 0.05097337988674651, 6: 0.054382121192190484, 7: 0.05250024436215534, 8: 0.05097337988674651, 9: 0.06511547202520923, 10: 0.06640689404186477, 11: 0.0637626506943706, 12: 0.06118837324159618, 13: 0.06930605596875296, 14: 0.05097337988674651, 15: 0.05435629717824263, 16: 0.05143739309076833, 17: 0.05375745911087743}",0.051968819,2,"[[9, 10], [9, 12], [13, 15]]",1,0,Deportivo Alav\u00e9s,14
37,698,[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  5.  3.  0. 12.  0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 2. 2. 2. 4. 4. 2. 4. 0.],2.333333333,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.2354084426973826, 14: 0.030046866048071004, 15: 0.0, 16: 0.3038327605122702, 17: 0}",0.031627115,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.029411764705882353, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.01838235294117647, 11: 0.01838235294117647, 12: 0.01838235294117647, 13: 0.04044117647058824, 14: 0.051470588235294115, 15: 0.007352941176470588, 16: 0.029411764705882353, 17: 0.003676470588235294}",0.013888889,"{0: 0.05207633412751103, 1: 0.05207633412751103, 2: 0.05207633412751103, 3: 0.05207633412751103, 4: 0.05207633412751103, 5: 0.05207633412751103, 6: 0.05207633412751103, 7: 0.05791842233343076, 8: 0.05207633412751103, 9: 0.05207633412751103, 10: 0.05654329647025397, 11: 0.061201813028751065, 12: 0.05654329647025397, 13: 0.065668775371494, 14: 0.07010695691114796, 15: 0.05444347742235629, 16: 0.05681062071720155, 17: 0.05207633412751103}",0.052076334,2,"[[7, 14]]",1,1,Getafe,8
26,701,[ 0.  0.  0.  0.  1.  0.  2.  1.  2.  3.  0.  1.  4.  1.  2.  1. 10.  0.],[0. 0. 0. 1. 1. 0. 2. 2. 2. 4. 0. 1. 6. 2. 1. 1. 3. 2.],3.111111111,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.16666666666666666, 7: 0.0, 8: 0.0, 9: 0.20166447360819093, 10: 0, 11: 0, 12: 0.11155204666199438, 13: 0.0, 14: 0, 15: 0, 16: 0.661422537840864, 17: 0.0}",0.063405874,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.04411764705882353, 4: 0.1323529411764706, 5: 0.003676470588235294, 6: 0.15808823529411764, 7: 0.16544117647058823, 8: 0.1801470588235294, 9: 0.15441176470588236, 10: 0.003676470588235294, 11: 0.0661764705882353, 12: 0.16544117647058823, 13: 0.05514705882352941, 14: 0.04044117647058824, 15: 0.03676470588235294, 16: 0.04779411764705882, 17: 0.007352941176470588}",0.070669935,"{0: 0.04631968005246876, 1: 0.04631968005246876, 2: 0.04631968005246876, 3: 0.05459792671250253, 4: 0.05587048628383075, 5: 0.04631968005246876, 6: 0.06622381530226934, 7: 0.06446007646508348, 8: 0.07640233041265274, 9: 0.07124185368124301, 10: 0.04631968005246876, 11: 0.05587048628383075, 12: 0.07617471677389309, 13: 0.05351800406702058, 14: 0.04757156341610517, 15: 0.04757156341610517, 16: 0.05007533014337799, 17: 0.048823446779741576}",0.051796667,2,"[[8, 11], [9, 12], [9, 6]]",1,1,Eibar,9
30,712,[ 0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  2.  0.  4.  4.  0.  4. 16.  0.],[0. 0. 0. 0. 0. 0. 0. 2. 0. 1. 3. 1. 4. 6. 0. 6. 7. 2.],3.555555556,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0, 8: 0, 9: 0, 10: 0.12523621547368746, 11: 0, 12: 0.08850860897418181, 13: 0.04780801999799759, 14: 0, 15: 0.043230725848784526, 16: 0.0634919137896541, 17: 0.0}",0.020459749,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.042279411764705885, 8: 0.003676470588235294, 9: 0.03308823529411765, 10: 0.04779411764705882, 11: 0.029411764705882353, 12: 0.04779411764705882, 13: 0.06433823529411764, 14: 0.003676470588235294, 15: 0.03308823529411765, 16: 0.03308823529411765, 17: 0.007352941176470588}",0.020629085,"{0: 0.05245875414996564, 1: 0.05245875414996564, 2: 0.05245875414996564, 3: 0.05245875414996564, 4: 0.05245875414996564, 5: 0.05245875414996564, 6: 0.05245875414996564, 7: 0.06155686376777747, 8: 0.05245875414996564, 9: 0.054356261385197314, 10: 0.06732838700147648, 11: 0.05468468978150244, 12: 0.057161209625827734, 13: 0.06705617710780118, 14: 0.05245875414996564, 15: 0.056650305713145846, 16: 0.055694161902581814, 17: 0.05338315636499883}",0.052920955,2,"[[10, 13]]",1,0,Legan\u00e9s,17
32,714,[0. 0. 0. 0. 0. 0. 0. 1. 2. 0. 4. 2. 0. 1. 0. 0. 3. 0.],[0. 0. 0. 0. 0. 0. 0. 1. 3. 0. 4. 2. 0. 0. 0. 2. 1. 0.],1.444444444,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.25, 9: 0, 10: 0.375, 11: 0.75, 12: 0, 13: 0, 14: 0, 15: 0.0, 16: 0, 17: 0}",0.076388889,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.029411764705882353, 8: 0.03676470588235294, 9: 0.003676470588235294, 10: 0.04779411764705882, 11: 0.029411764705882353, 12: 0.003676470588235294, 13: 0.01838235294117647, 14: 0.003676470588235294, 15: 0.007352941176470588, 16: 0.007352941176470588, 17: 0.003676470588235294}",0.012050654,"{0: 0.04599942764671334, 1: 0.04599942764671334, 2: 0.04599942764671334, 3: 0.04599942764671334, 4: 0.04599942764671334, 5: 0.04599942764671334, 6: 0.04599942764671334, 7: 0.056760601374452324, 8: 0.09420431774897106, 9: 0.04599942764671334, 10: 0.10860757302960188, 11: 0.07542870145265937, 12: 0.04599942764671334, 13: 0.04599942764671334, 14: 0.04599942764671334, 15: 0.06000397387359902, 16: 0.05300170076015617, 17: 0.04599942764671334}",0.045999428,3,"[[8, 10, 11]]",1,0,Las Palmas,19
22,756,[0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 1. 0. 0. 3. 1. 0. 9. 0.],[0. 0. 0. 0. 0. 1. 0. 1. 2. 2. 1. 1. 1. 1. 1. 3. 3. 1.],2,0,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.5, 9: 0.5, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.0, 16: 0.5737082617179015, 17: 0}",0.087428237,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.014705882352941176, 6: 0.003676470588235294, 7: 0.007352941176470588, 8: 0.022058823529411766, 9: 0.022058823529411766, 10: 0.022058823529411766, 11: 0.014705882352941176, 12: 0.007352941176470588, 13: 0.01838235294117647, 14: 0.022058823529411766, 15: 0.007352941176470588, 16: 0.025735294117647058, 17: 0.007352941176470588}",0.011846405,"{0: 0.049465273517650135, 1: 0.049465273517650135, 2: 0.049465273517650135, 3: 0.049465273517650135, 4: 0.049465273517650135, 5: 0.061061636916234105, 6: 0.049465273517650135, 7: 0.05501802815568966, 8: 0.07659892363610579, 9: 0.06483302843778742, 10: 0.0592802737997479, 11: 0.06741380829047534, 12: 0.051316191730329974, 13: 0.05501802815568966, 14: 0.051316191730329974, 15: 0.05501802815568966, 16: 0.05501802815568966, 17: 0.051316191730329974}",0.05316711,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",1,1,Girona,10
0,1609,[ 0.  1.  0.  2.  2.  0.  2.  8.  3. 12. 16.  9. 12. 18.  8.  7. 43.  5.],[ 0.  1.  0.  4.  2.  1.  3.  9.  4. 13. 19. 11. 15. 20. 10. 13. 15.  8.],16.44444444,6,8.5,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.0, 5: 0, 6: 0.047619047619047616, 7: 0.022388538873744913, 8: 0.044299104585163146, 9: 0.01708403006774059, 10: 0.012750136067235131, 11: 0.01586898852513783, 12: 0.015881576471787815, 13: 0.011980824112198923, 14: 0.017790855755257753, 15: 0.01385391939189904, 16: 0.021351057090429042, 17: 0.009674472630007522}",0.013919031,"{0: 0.003676470588235294, 1: 0.25, 2: 0.003676470588235294, 3: 0.2536764705882353, 4: 0.13602941176470587, 5: 0.058823529411764705, 6: 0.11029411764705882, 7: 0.36213235294117646, 8: 0.3272058823529412, 9: 0.20404411764705882, 10: 0.44485294117647056, 11: 0.14522058823529413, 12: 0.16176470588235295, 13: 0.21691176470588236, 14: 0.20220588235294118, 15: 0.125, 16: 0.11764705882352941, 17: 0.11397058823529412}",0.179840686,"{0: 0.05280885304164279, 1: 0.054511190327360355, 2: 0.05280885304164279, 3: 0.05787590284513823, 4: 0.054930676486779476, 5: 0.05394190910927092, 6: 0.05512545850365343, 7: 0.05704676700737391, 8: 0.057782334576758534, 9: 0.056236489197185116, 10: 0.05826185475721152, 11: 0.05666830410077138, 12: 0.057151459084285657, 13: 0.056196489212860676, 14: 0.056209010120689476, 15: 0.05467757794365718, 16: 0.05402729830363347, 17: 0.0537395723400851}",0.055660974,3,"[[10, 9, 12], [10, 13, 14]]",0,1,Arsenal,6
4,1610,[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  5.  5.  1.  3. 11.  6.  0. 19.  1.],[ 0.  0.  0.  0.  1.  1.  1.  3.  0.  6.  5.  1.  5. 13. 10.  1.  4.  2.],5.888888889,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0, 8: 0, 9: 0.08233026305146729, 10: 0.12245536836438453, 11: 0, 12: 0.09256035959798288, 13: 0.036828004989269435, 14: 0.042107671627527384, 15: 0, 16: 0.2987643769621573, 17: 0.24749141638096417}",0.051252081,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.011029411764705883, 5: 0.014705882352941176, 6: 0.0625, 7: 0.03676470588235294, 8: 0.003676470588235294, 9: 0.10294117647058823, 10: 0.07904411764705882, 11: 0.04044117647058824, 12: 0.07720588235294118, 13: 0.10845588235294118, 14: 0.09191176470588236, 15: 0.007352941176470588, 16: 0.04779411764705882, 17: 0.05514705882352941}",0.041870915,"{0: 0.05108150064641074, 1: 0.05108150064641074, 2: 0.05108150064641074, 3: 0.05108150064641074, 4: 0.05832384932542477, 5: 0.051471338056765965, 6: 0.05280573461927865, 7: 0.06244803394163199, 8: 0.05108150064641074, 9: 0.06127114468466268, 10: 0.05713839175335635, 11: 0.05851158628411644, 12: 0.05790941343283945, 13: 0.06326359585618, 14: 0.06505665120846207, 15: 0.051471338056765965, 16: 0.05264085028783165, 17: 0.0522805692606303}",0.052723292,2,"[[9, 10], [9, 12], [13, 14]]",0,1,Chelsea,5
7,1611,[ 0.  0.  0.  2.  2.  1.  6.  3.  0.  2.  3.  3.  5. 15.  4.  2. 33.  1.],[ 0.  0.  0.  4.  2.  1.  7.  3.  1.  4.  4.  3.  7. 18.  9.  4. 10.  5.],9.111111111,2,4,"{0: 0, 1: 0, 2: 0, 3: 0.042475935666372214, 4: 0.16666666666666666, 5: 0, 6: 0.02984668057061996, 7: 0.09259259259259259, 8: 0, 9: 0.011665935647174752, 10: 0.009259259259259259, 11: 0.08370077962573605, 12: 0.0355196006650826, 13: 0.016451915012153272, 14: 0.024103407327648502, 15: 0.046296296296296294, 16: 0.06043188394446595, 17: 0.015080097869971703}",0.035227281,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.2647058823529412, 4: 0.15502450980392157, 5: 0.15134803921568626, 6: 0.20955882352941177, 7: 0.33517156862745096, 8: 0.05514705882352941, 9: 0.3161764705882353, 10: 0.420343137254902, 11: 0.11825980392156862, 12: 0.36458333333333337, 13: 0.32598039215686275, 14: 0.15073529411764705, 15: 0.10294117647058823, 16: 0.16237745098039214, 17: 0.10294117647058823}",0.180351307,"{0: 0.05170547480773667, 1: 0.05170547480773667, 2: 0.05170547480773667, 3: 0.05842211527238477, 4: 0.058941623826415476, 5: 0.0533132817850716, 6: 0.059571991772717006, 7: 0.05758605482565763, 8: 0.05204779041572341, 9: 0.05554694108187038, 10: 0.055181642185396756, 11: 0.056612252792621574, 12: 0.05984512434311501, 13: 0.05874299262988456, 14: 0.060165898310729216, 15: 0.05317537970698551, 16: 0.05331886131878143, 17: 0.05241162530943557}",0.055364292,2,"[[12, 9], [12, 13], [12, 15], [16, 13]]",0,1,Manchester United,2
10,1612,[ 0.  2.  1.  2.  2.  3.  4.  7.  1.  2.  7.  6.  4. 11.  2.  6. 37.  2.],[ 0.  2.  1.  2.  2.  4.  6.  8.  2.  2. 10.  7.  9. 23.  1.  7.  9.  4.],11,2.5,4,"{0: 0, 1: 0.0, 2: 0, 3: 0.0, 4: 0.0, 5: 0.041666666666666664, 6: 0.021844766914134284, 7: 0.019629194397260578, 8: 0.05669289471314998, 9: 0.04499718035338832, 10: 0.015267151197869339, 11: 0.022001709625579926, 12: 0.014781806299550419, 13: 0.005124138497220794, 14: 0, 15: 0.03558782821337256, 16: 0.04172491281997431, 17: 0.03287103210332924}",0.019566071,"{0: 0.003676470588235294, 1: 0.22058823529411764, 2: 0.11397058823529412, 3: 0.29411764705882354, 4: 0.21323529411764705, 5: 0.2867647058823529, 6: 0.5698529411764706, 7: 0.4411764705882353, 8: 0.11397058823529412, 9: 0.3639705882352941, 10: 0.2757352941176471, 11: 0.17647058823529413, 12: 0.2977941176470588, 13: 0.26838235294117646, 14: 0.11397058823529412, 15: 0.29411764705882354, 16: 0.0625, 17: 0.0625}",0.231821895,"{0: 0.05027932961396467, 1: 0.05503513908595316, 2: 0.05306851047435181, 3: 0.05302972126383752, 4: 0.05578282594455719, 5: 0.06313111959578398, 6: 0.05500886402142231, 7: 0.0629405181835691, 8: 0.05214233654391916, 9: 0.052198276772129105, 10: 0.061113285219413206, 11: 0.05783166097649975, 12: 0.059551928565349445, 13: 0.05981135675478054, 14: 0.05082308094719268, 15: 0.05335375161929375, 16: 0.05153283285463909, 17: 0.05336546156334346}",0.054187163,2,"[[7, 8], [12, 15], [13, 14]]",0,1,Liverpool,4
16,1613,[ 0.  1.  0.  0.  2.  3.  0.  0.  2.  1.  0.  0.  0.  2.  3.  1. 18.  2.],[0. 2. 0. 0. 2. 4. 1. 0. 2. 1. 0. 0. 0. 5. 5. 3. 7. 3.],3.888888889,1,1.5,"{0: 0, 1: 0.08333333333333333, 2: 0, 3: 0, 4: 0.3333333333333333, 5: 0.08333333333333333, 6: 0, 7: 0, 8: 0.25, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.04656167543306833, 14: 0.06756035959798287, 15: 0.050475572023114985, 16: 0.1033325690832943, 17: 0.12327394408447323}",0.063400229,"{0: 0.003676470588235294, 1: 0.04411764705882353, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.04044117647058824, 5: 0.08823529411764706, 6: 0.014705882352941176, 7: 0.003676470588235294, 8: 0.022058823529411766, 9: 0.022058823529411766, 10: 0.003676470588235294, 11: 0.003676470588235294, 12: 0.003676470588235294, 13: 0.07352941176470588, 14: 0.025735294117647058, 15: 0.025735294117647058, 16: 0.07352941176470588, 17: 0.04411764705882353}",0.027777778,"{0: 0.05107363091445359, 1: 0.058361332799498705, 2: 0.05107363091445359, 3: 0.05107363091445359, 4: 0.058361332799498705, 5: 0.07080823138237376, 6: 0.05818616313560265, 7: 0.05107363091445359, 8: 0.05533338439225077, 9: 0.05151338460522105, 10: 0.05107363091445359, 11: 0.05107363091445359, 12: 0.05107363091445359, 13: 0.06660196865433164, 14: 0.061203860344791604, 15: 0.052392891986755966, 16: 0.057329141511743995, 17: 0.052392891986755966}",0.052392892,2,"[[1, 5], [16, 17]]",0,1,Newcastle United,10
18,1619,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  0.  0.  1.  2.  0. 18.  3.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 3. 1. 0. 3. 3. 3. 7. 5.],3,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.09523809523809523, 11: 0, 12: 0, 13: 0.06160478695162379, 14: 0.0854143107611476, 15: 0.0, 16: 0.07320415671071913, 17: 0.0}",0.017525631,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.022058823529411766, 8: 0.003676470588235294, 9: 0.014705882352941176, 10: 0.03676470588235294, 11: 0.011029411764705883, 12: 0.003676470588235294, 13: 0.007352941176470588, 14: 0.03308823529411765, 15: 0.007352941176470588, 16: 0.03308823529411765, 17: 0.03676470588235294}",0.013071895,"{0: 0.05352253736919865, 1: 0.05352253736919865, 2: 0.05352253736919865, 3: 0.05352253736919865, 4: 0.05352253736919865, 5: 0.05352253736919865, 6: 0.05352253736919865, 7: 0.056943253881160234, 8: 0.05352253736919865, 9: 0.053845239253575254, 10: 0.06570025790842897, 11: 0.055436343404394635, 12: 0.05352253736919865, 13: 0.06046376186875462, 14: 0.0605001669876533, 15: 0.05449064302232847, 16: 0.0557814505598349, 17: 0.05513604679108168}",0.053683888,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",0,0,Southampton,17
