,team_id,in_degree,out_degree,total_degree,avg_total_degree,med_in_degree,med_out_degree,max_total_degree,max_in_degree,max_out_degree,max_total_degree_pos,max_in_degree_pos,max_out_degree_pos,clustering_coef,avg_clustering_coef,max_clustering_coef,max_clustering_coef_pos,betweenness,avg_betweenness,max_betweenness,max_betweenness_pos,pagerank,avg_pagerank,max_pagerank,max_pagerank_pos,max_clique,max_cliques,league,top_half,team_name,league_position
46,3785,[1. 1. 0. 2. 4. 2. 2. 3. 0. 8. 0.],[1. 2. 0. 1. 3. 3. 3. 3. 3. 4. 0.],"[2.0, 3.0, 0.0, 3.0, 7.0, 5.0, 5.0, 6.0, 3.0, 12.0, 0.0]",2.555555556,2,3,12,8,4,9,9,9,"{0: 0, 1: 0.0, 2: 0, 3: 0, 4: 0.3333333333333333, 5: 0.20998684164914552, 6: 0.08333333333333333, 7: 0.25, 8: 0.0, 9: 0.16666666666666666, 10: 0}",0.094847289,0.333333333,4,"{0: 0.058823529411764705, 1: 0.058823529411764705, 2: 0.003676470588235294, 3: 0.0661764705882353, 4: 0.11948529411764706, 5: 0.08455882352941177, 6: 0.08455882352941177, 7: 0.07720588235294118, 8: 0.03308823529411765, 9: 0.15625, 10: 0.003676470588235294}",0.041462418,0.15625,9,"{0: 0.07644015253927107, 1: 0.0787778527901829, 2: 0.06816751708914523, 3: 0.07347268493966407, 4: 0.10118688504972634, 5: 0.10377571058974533, 6: 0.10294062147856398, 7: 0.09857725095663972, 8: 0.0987137189826851, 9: 0.12978008849523098, 10: 0.06816751708914523}",0.098577251,0.129780088,9,3,"[[7, 9, 4]]",4,0,Guingamp,12
47,3780,[2. 3. 0. 3. 5. 4. 4. 4. 4. 5. 0.],[2. 4. 1. 2. 4. 6. 3. 3. 2. 7. 0.],"[4.0, 7.0, 1.0, 5.0, 9.0, 10.0, 7.0, 7.0, 6.0, 12.0, 0.0]",3.777777778,4,3,12,5,7,9,4,9,"{0: 0.25, 1: 0.14666008749123943, 2: 0, 3: 0.75, 4: 0.22999342082457278, 5: 0.09199736832982912, 6: 0.10499342082457276, 7: 0.16666666666666666, 8: 0.5, 9: 0.056901942258150234, 10: 0}",0.208837537,0.75,3,"{0: 0.07071078431372549, 1: 0.06985294117647059, 2: 0.03676470588235294, 3: 0.08088235294117647, 4: 0.11348039215686274, 5: 0.10845588235294118, 6: 0.09191176470588236, 7: 0.10992647058823529, 8: 0.07438725490196078, 9: 0.1480392156862745, 10: 0.003676470588235294}",0.050449346,0.148039216,9,"{0: 0.08389505757308476, 1: 0.09525344938303207, 2: 0.07971893295107982, 3: 0.08491610206050244, 4: 0.0993389704169885, 5: 0.11131650047928349, 6: 0.08811508231103599, 7: 0.08971696966815063, 8: 0.0841675020260151, 9: 0.10845583193917963, 10: 0.07510560119164748}",0.088115082,0.1113165,5,2,"[[1, 4], [1, 5], [3, 5], [6, 9], [9, 4]]",4,0,Toulouse,18
48,19830,[8. 4. 2. 1. 7. 9. 9. 7. 9. 8. 0.],[10.  9.  3.  1.  6.  6. 10.  7.  6.  5.  1.],"[18.0, 13.0, 5.0, 2.0, 13.0, 15.0, 19.0, 14.0, 15.0, 13.0, 1.0]",7.111111111,7,6,19,9,10,6,5,0,"{0: 0.07144602286197133, 1: 0.07297817107297269, 2: 0.1111111111111111, 3: 0, 4: 0.09168514824741818, 5: 0.20719760102641024, 6: 0.09374898810026716, 7: 0.12280401253888978, 8: 0.23114769714223546, 9: 0.2166900897886183, 10: 0}",0.110800804,0.231147697,8,"{0: 0.12561274509803924, 1: 0.08088235294117647, 2: 0.07352941176470588, 3: 0.07352941176470588, 4: 0.1213235294117647, 5: 0.09375, 6: 0.1636029411764706, 7: 0.125, 8: 0.09987745098039215, 9: 0.0900735294117647, 10: 0.04044117647058824}",0.060423475,0.163602941,6,"{0: 0.09896435469132553, 1: 0.09362135426469362, 2: 0.08376094164302557, 3: 0.08003911895735008, 4: 0.09301894553928346, 5: 0.09073063959267971, 6: 0.10960932781870608, 7: 0.09458127753446788, 8: 0.08823872334844528, 9: 0.08760274677288479, 10: 0.07983256983713799}",0.09073064,0.109609328,6,3,"[[0, 4, 9], [5, 6, 8], [5, 6, 1]]",4,1,Monaco,2
49,3787,[ 6.  2.  2.  3.  4.  8.  6.  7. 10.  8.  1.],[7. 3. 4. 5. 4. 7. 6. 8. 7. 5. 1.],"[13.0, 5.0, 6.0, 8.0, 8.0, 15.0, 12.0, 15.0, 17.0, 13.0, 2.0]",6.333333333,6,5,17,10,8,8,8,7,"{0: 0.02867333686209607, 1: 0.10176039876280868, 2: 0.10416666666666666, 3: 0.10974703937105774, 4: 0.19374177603071596, 5: 0.06675289466378508, 6: 0.12189237709623076, 7: 0.08707168739145701, 8: 0.10715122254355414, 9: 0.19305031799980069, 10: 0}",0.101273429,0.193741776,4,"{0: 0.11948529411764706, 1: 0.11029411764705882, 2: 0.07720588235294118, 3: 0.08455882352941177, 4: 0.07904411764705882, 5: 0.13725490196078433, 6: 0.12071078431372548, 7: 0.12806372549019607, 8: 0.14522058823529413, 9: 0.09068627450980392, 10: 0.0784313725490196}",0.065053105,0.145220588,8,"{0: 0.09989237786772885, 1: 0.09291783157192723, 2: 0.08451903490519462, 3: 0.0912957002751115, 4: 0.083751880132344, 5: 0.09803881137581115, 6: 0.09166715356077747, 7: 0.09615391963970966, 8: 0.09625657447291354, 9: 0.08762355109412204, 10: 0.07788316510436005}",0.091667154,0.099892378,0,3,"[[7, 8, 9], [7, 6, 9], [7, 6, 3]]",4,1,Montpellier,10
50,3767,[19. 12. 17.  9. 25. 24. 27. 27. 26. 25.  0.],[21. 14. 19. 11. 24. 28. 27. 26. 17. 20.  4.],"[40.0, 26.0, 36.0, 20.0, 49.0, 52.0, 54.0, 53.0, 43.0, 45.0, 4.0]",23.44444444,24,20,54,27,28,6,6,5,"{0: 0.03314704622868941, 1: 0.05232221468216785, 2: 0.04150270802556248, 3: 0.042647306049463526, 4: 0.031219037759578586, 5: 0.024624958251621965, 6: 0.02789601285321414, 7: 0.030279916373215202, 8: 0.053469472403885374, 9: 0.04064073230729692, 10: 0.0}",0.034340855,0.053469472,8,"{0: 0.07352941176470588, 1: 0.08333333333333334, 2: 0.09313725490196079, 3: 0.07352941176470588, 4: 0.0894607843137255, 5: 0.10906862745098038, 6: 0.10845588235294118, 7: 0.13112745098039214, 8: 0.08088235294117647, 9: 0.08455882352941177, 10: 0.04044117647058824}",0.053751362,0.131127451,7,"{0: 0.09113123458716484, 1: 0.09000588826530606, 2: 0.09096148595909267, 3: 0.08903298474847149, 4: 0.09157278485580893, 5: 0.09232133625611874, 6: 0.09253788544121858, 7: 0.09345489211825038, 8: 0.09032121341715822, 9: 0.09075224422880082, 10: 0.0879080501226093}",0.090961486,0.093454892,7,7,"[[7, 2, 4, 5, 6, 9, 0], [7, 2, 4, 5, 6, 9, 8]]",4,1,PSG,1
51,3782,[1. 0. 0. 0. 6. 5. 5. 1. 5. 1. 0.],[1. 1. 0. 1. 1. 2. 5. 4. 7. 2. 0.],"[2.0, 1.0, 0.0, 1.0, 7.0, 7.0, 10.0, 5.0, 12.0, 3.0, 0.0]",2.666666667,1,1,12,6,7,8,4,8,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.5218502629920498, 6: 0.049526145876214435, 7: 0.0, 8: 0.02621739074285916, 9: 0.125, 10: 0}",0.065690345,0.521850263,5,"{0: 0.05514705882352941, 1: 0.029411764705882353, 2: 0.003676470588235294, 3: 0.029411764705882353, 4: 0.07904411764705882, 5: 0.05514705882352941, 6: 0.11397058823529412, 7: 0.0900735294117647, 8: 0.14705882352941177, 9: 0.10294117647058823, 10: 0.003676470588235294}",0.039419935,0.147058824,8,"{0: 0.08262685500560069, 1: 0.08149193819159938, 2: 0.0787499179455449, 3: 0.08262685500560069, 4: 0.08344468843219978, 5: 0.08536887525165517, 6: 0.0983182698976185, 7: 0.10697882866357875, 8: 0.1190597978897403, 9: 0.10258405577131702, 10: 0.0787499179455449}",0.083444688,0.119059798,8,2,"[[8, 4], [8, 6]]",4,1,Saint-\u00c9tienne,7
52,3795,[1. 0. 1. 0. 4. 3. 1. 1. 5. 6. 1.],[2. 1. 3. 1. 5. 2. 3. 1. 1. 3. 1.],"[3.0, 1.0, 4.0, 1.0, 9.0, 5.0, 4.0, 2.0, 6.0, 9.0, 2.0]",2.555555556,1,2,9,6,5,4,9,4,"{0: 0.25, 1: 0, 2: 0.08333333333333333, 3: 0, 4: 0.025, 5: 0.5649802624737184, 6: 0.13228342099734994, 7: 0, 8: 0, 9: 0.18832675415790612, 10: 0}",0.113083979,0.564980262,5,"{0: 0.0625, 1: 0.03308823529411765, 2: 0.09926470588235294, 3: 0.03308823529411765, 4: 0.19669117647058823, 5: 0.06433823529411764, 6: 0.06617647058823528, 7: 0.058823529411764705, 8: 0.07720588235294118, 9: 0.1672794117647059, 10: 0.058823529411764705}",0.050959967,0.196691176,4,"{0: 0.08351505696137404, 1: 0.09191955711263596, 2: 0.11008691145452912, 3: 0.08886516955725991, 4: 0.15249760281878133, 5: 0.07430897071722932, 6: 0.08254937510626856, 7: 0.06907673929081275, 8: 0.06907673929081275, 9: 0.100961547594558, 10: 0.07714233009573833}",0.083515057,0.152497603,4,2,"[[9, 4], [9, 5]]",4,0,Troyes,19
53,3774,[ 6.  5.  8.  1. 11.  2.  4.  7.  2.  8.  1.],[ 7.  7.  8.  1. 10.  1.  4.  6.  5.  5.  1.],"[13.0, 12.0, 16.0, 2.0, 21.0, 3.0, 8.0, 13.0, 7.0, 13.0, 2.0]",6.111111111,5,5,21,11,10,4,4,4,"{0: 0.039285273350247917, 1: 0.05552907969875253, 2: 0.033152585143198215, 3: 0, 4: 0.04247237691770196, 5: 0, 6: 0.033070855249337484, 7: 0.09465905748684464, 8: 0.051805252381371125, 9: 0.08925729367498304, 10: 0}",0.039930161,0.094659057,7,"{0: 0.15441176470588236, 1: 0.15165441176470587, 2: 0.1488970588235294, 3: 0.11029411764705882, 4: 0.196078431372549, 5: 0.07720588235294118, 6: 0.08272058823529412, 7: 0.11243872549019607, 8: 0.07720588235294118, 9: 0.1332720588235294, 10: 0.11029411764705882}",0.075248502,0.196078431,4,"{0: 0.10214510191579156, 1: 0.09256326090745268, 2: 0.0958180808739259, 3: 0.08885300744439788, 4: 0.10370340361282523, 5: 0.07750910673664324, 6: 0.08868086125191008, 7: 0.09502239392802592, 8: 0.08584317406606992, 9: 0.09115285676689507, 10: 0.07870875249606261}",0.091152857,0.103703404,4,3,"[[4, 1, 2], [4, 1, 7]]",4,1,Rennes,5
54,3804,[ 1.  1.  4.  0.  4.  5. 10.  6. 10.  6.  0.],[ 4.  1.  4.  6.  4.  4. 10.  6.  7.  1.  0.],"[5.0, 2.0, 8.0, 6.0, 8.0, 9.0, 20.0, 12.0, 17.0, 7.0, 0.0]",5.222222222,4,4,20,10,10,6,6,6,"{0: 0.06311772129740849, 1: 0, 2: 0.12342424467896013, 3: 0.0, 4: 0.03785667901733624, 5: 0.1272197724570584, 6: 0.022921788185176144, 7: 0.04664069785430633, 8: 0.027482450441927424, 9: 0, 10: 0}",0.040787578,0.127219772,5,"{0: 0.0661764705882353, 1: 0.0661764705882353, 2: 0.0661764705882353, 3: 0.03676470588235294, 4: 0.07720588235294118, 5: 0.09191176470588236, 6: 0.18566176470588236, 7: 0.09191176470588236, 8: 0.18382352941176472, 9: 0.0661764705882353, 10: 0.003676470588235294}",0.051981209,0.185661765,6,"{0: 0.08764517497931511, 1: 0.07872784647959222, 2: 0.08580791542856404, 3: 0.09561060220384246, 4: 0.0866863806909525, 5: 0.08943703982131188, 6: 0.10646515284298999, 7: 0.0923715898845863, 8: 0.12151141651847719, 9: 0.07935392608418201, 10: 0.07638295506618638}",0.087645175,0.121511417,8,2,"[[1, 8], [6, 8], [6, 2], [7, 8], [7, 9], [7, 2]]",4,0,Dijon,11
55,3779,[2. 2. 3. 2. 2. 1. 3. 3. 6. 6. 0.],[3. 3. 5. 4. 2. 0. 4. 3. 4. 2. 0.],"[5.0, 5.0, 8.0, 6.0, 4.0, 1.0, 7.0, 6.0, 10.0, 8.0, 0.0]",3.333333333,2,3,10,6,5,8,8,2,"{0: 0.05555555555555555, 1: 0.1111111111111111, 2: 0.03333333333333333, 3: 0.0, 4: 0.37665350831581224, 5: 0, 6: 0.034997806941524254, 7: 0.05555555555555555, 8: 0.06784026584187244, 9: 0.3333333333333333, 10: 0}",0.097125497,0.376653508,4,"{0: 0.09865196078431372, 1: 0.07352941176470588, 2: 0.1133578431372549, 3: 0.08823529411764706, 4: 0.0661764705882353, 5: 0.03676470588235294, 6: 0.09987745098039216, 7: 0.10477941176470588, 8: 0.1372549019607843, 9: 0.0894607843137255, 10: 0.003676470588235294}",0.050653595,0.137254902,8,"{0: 0.10105398690079695, 1: 0.09355885972669215, 2: 0.13203476929910038, 3: 0.09652910949364604, 4: 0.07441369532462391, 5: 0.05778701393306736, 6: 0.10613346167869564, 7: 0.08963877417544718, 8: 0.11235489749474167, 9: 0.07870841804012133, 10: 0.05778701393306736}",0.09355886,0.132034769,2,2,"[[0, 6], [2, 1], [2, 3], [6, 9], [8, 9]]",4,0,Strasbourg,15
